case,distance_mm,original_dice,original_iou,original_false_positive_voxels,original_false_negative_voxels,original_prediction_voxels,filtered_dice,filtered_iou,filtered_false_positive_voxels,filtered_false_negative_voxels,filtered_prediction_voxels,dice_change,iou_change,removed_voxels,largest_component_voxels
dataset8_016,40.0,0.9887834090652218,0.9778156508994587,10103,3096,591873,0.9888229035295557,0.9778929002457465,10056,3096,591826,3.949446433393344e-05,7.72493462878332e-05,47,591391
dataset8_028,5.0,0.9878163177590952,0.9759259461406631,8132,2895,455150,0.9878337701831233,0.9759600163323413,8074,2936,455051,1.7452424028174818e-05,3.4070191678226e-05,99,454989
dataset8_028,10.0,0.9878163177590952,0.9759259461406631,8132,2895,455150,0.9878163177590952,0.9759259461406631,8132,2895,455150,0.0,0.0,0,454989
dataset8_028,15.0,0.9878163177590952,0.9759259461406631,8132,2895,455150,0.9878163177590952,0.9759259461406631,8132,2895,455150,0.0,0.0,0,454989
dataset8_028,20.0,0.9878163177590952,0.9759259461406631,8132,2895,455150,0.9878163177590952,0.9759259461406631,8132,2895,455150,0.0,0.0,0,454989
dataset8_028,30.0,0.9878163177590952,0.9759259461406631,8132,2895,455150,0.9878163177590952,0.9759259461406631,8132,2895,455150,0.0,0.0,0,454989
dataset8_028,40.0,0.9878163177590952,0.9759259461406631,8132,2895,455150,0.9878163177590952,0.9759259461406631,8132,2895,455150,0.0,0.0,0,454989
dataset8_033,5.0,0.9904404625109262,0.9810619638880342,12653,766,707808,0.9904404625109262,0.9810619638880342,12653,766,707808,0.0,0.0,0,707808
dataset8_033,10.0,0.9904404625109262,0.9810619638880342,12653,766,707808,0.9904404625109262,0.9810619638880342,12653,766,707808,0.0,0.0,0,707808
dataset8_033,15.0,0.9904404625109262,0.9810619638880342,12653,766,707808,0.9904404625109262,0.9810619638880342,12653,766,707808,0.0,0.0,0,707808
dataset8_033,20.0,0.9904404625109262,0.9810619638880342,12653,766,707808,0.9904404625109262,0.9810619638880342,12653,766,707808,0.0,0.0,0,707808
dataset8_033,30.0,0.9904404625109262,0.9810619638880342,12653,766,707808,0.9904404625109262,0.9810619638880342,12653,766,707808,0.0,0.0,0,707808
dataset8_033,40.0,0.9904404625109262,0.9810619638880342,12653,766,707808,0.9904404625109262,0.9810619638880342,12653,766,707808,0.0,0.0,0,707808
dataset8_036,5.0,0.9869980518374211,0.9743298654337982,9996,4046,542971,0.9869980518374211,0.9743298654337982,9996,4046,542971,0.0,0.0,0,542971
dataset8_036,10.0,0.9869980518374211,0.9743298654337982,9996,4046,542971,0.9869980518374211,0.9743298654337982,9996,4046,542971,0.0,0.0,0,542971
dataset8_036,15.0,0.9869980518374211,0.9743298654337982,9996,4046,542971,0.9869980518374211,0.9743298654337982,9996,4046,542971,0.0,0.0,0,542971
dataset8_036,20.0,0.9869980518374211,0.9743298654337982,9996,4046,542971,0.9869980518374211,0.9743298654337982,9996,4046,542971,0.0,0.0,0,542971
dataset8_036,30.0,0.9869980518374211,0.9743298654337982,9996,4046,542971,0.9869980518374211,0.9743298654337982,9996,4046,542971,0.0,0.0,0,542971
dataset8_036,40.0,0.9869980518374211,0.9743298654337982,9996,4046,542971,0.9869980518374211,0.9743298654337982,9996,4046,542971,0.0,0.0,0,542971
dataset8_039,5.0,0.9802126859896974,0.9611932532628019,3221,6624,247069,0.9802245068186157,0.9612159866291927,3215,6624,247063,1.1820828918374104e-05,2.273336639080359e-05,6,247063
dataset8_039,10.0,0.9802126859896974,0.9611932532628019,3221,6624,247069,0.9802126859896974,0.9611932532628019,3221,6624,247069,0.0,0.0,0,247063
dataset8_039,15.0,0.9802126859896974,0.9611932532628019,3221,6624,247069,0.9802126859896974,0.9611932532628019,3221,6624,247069,0.0,0.0,0,247063
dataset8_039,20.0,0.9802126859896974,0.9611932532628019,3221,6624,247069,0.9802126859896974,0.9611932532628019,3221,6624,247069,0.0,0.0,0,247063
dataset8_039,30.0,0.9802126859896974,0.9611932532628019,3221,6624,247069,0.9802126859896974,0.9611932532628019,3221,6624,247069,0.0,0.0,0,247063
dataset8_039,40.0,0.9802126859896974,0.9611932532628019,3221,6624,247069,0.9802126859896974,0.9611932532628019,3221,6624,247069,0.0,0.0,0,247063
dataset8_040,5.0,0.992477868517062,0.9850680570721232,4531,1609,409590,0.992477868517062,0.9850680570721232,4531,1609,409590,0.0,0.0,0,409590
dataset8_040,10.0,0.992477868517062,0.9850680570721232,4531,1609,409590,0.992477868517062,0.9850680570721232,4531,1609,409590,0.0,0.0,0,409590
dataset8_040,15.0,0.992477868517062,0.9850680570721232,4531,1609,409590,0.992477868517062,0.9850680570721232,4531,1609,409590,0.0,0.0,0,409590
dataset8_040,20.0,0.992477868517062,0.9850680570721232,4531,1609,409590,0.992477868517062,0.9850680570721232,4531,1609,409590,0.0,0.0,0,409590
dataset8_040,30.0,0.992477868517062,0.9850680570721232,4531,1609,409590,0.992477868517062,0.9850680570721232,4531,1609,409590,0.0,0.0,0,409590
dataset8_040,40.0,0.992477868517062,0.9850680570721232,4531,1609,409590,0.992477868517062,0.9850680570721232,4531,1609,409590,0.0,0.0,0,409590
dataset8_045,5.0,0.9825961100067012,0.9657876480236116,12271,4792,493946,0.9826011211658819,0.9657973304353231,12266,4792,493941,5.011159180723368e-06,9.682411711509076e-06,5,493940
dataset8_045,10.0,0.9825961100067012,0.9657876480236116,12271,4792,493946,0.9825961100067012,0.9657876480236116,12271,4792,493946,0.0,0.0,0,493940
dataset8_045,15.0,0.9825961100067012,0.9657876480236116,12271,4792,493946,0.9825961100067012,0.9657876480236116,12271,4792,493946,0.0,0.0,0,493940
dataset8_045,20.0,0.9825961100067012,0.9657876480236116,12271,4792,493946,0.9825961100067012,0.9657876480236116,12271,4792,493946,0.0,0.0,0,493940
dataset8_045,30.0,0.9825961100067012,0.9657876480236116,12271,4792,493946,0.9825961100067012,0.9657876480236116,12271,4792,493946,0.0,0.0,0,493940
dataset8_045,40.0,0.9825961100067012,0.9657876480236116,12271,4792,493946,0.9825961100067012,0.9657876480236116,12271,4792,493946,0.0,0.0,0,493940
dataset8_046,5.0,0.9938597571116021,0.9877944592082498,3956,1730,464124,0.9938597571116021,0.9877944592082498,3956,1730,464124,0.0,0.0,0,464124
dataset8_046,10.0,0.9938597571116021,0.9877944592082498,3956,1730,464124,0.9938597571116021,0.9877944592082498,3956,1730,464124,0.0,0.0,0,464124
dataset8_046,15.0,0.9938597571116021,0.9877944592082498,3956,1730,464124,0.9938597571116021,0.9877944592082498,3956,1730,464124,0.0,0.0,0,464124
dataset8_046,20.0,0.9938597571116021,0.9877944592082498,3956,1730,464124,0.9938597571116021,0.9877944592082498,3956,1730,464124,0.0,0.0,0,464124
dataset8_046,30.0,0.9938597571116021,0.9877944592082498,3956,1730,464124,0.9938597571116021,0.9877944592082498,3956,1730,464124,0.0,0.0,0,464124
dataset8_046,40.0,0.9938597571116021,0.9877944592082498,3956,1730,464124,0.9938597571116021,0.9877944592082498,3956,1730,464124,0.0,0.0,0,464124
dataset8_088,5.0,0.9921237165144267,0.9843705351249371,8437,916,597505,0.9921237165144267,0.9843705351249371,8437,916,597505,0.0,0.0,0,597505
dataset8_088,10.0,0.9921237165144267,0.9843705351249371,8437,916,597505,0.9921237165144267,0.9843705351249371,8437,916,597505,0.0,0.0,0,597505
dataset8_088,15.0,0.9921237165144267,0.9843705351249371,8437,916,597505,0.9921237165144267,0.9843705351249371,8437,916,597505,0.0,0.0,0,597505
dataset8_088,20.0,0.9921237165144267,0.9843705351249371,8437,916,597505,0.9921237165144267,0.9843705351249371,8437,916,597505,0.0,0.0,0,597505
dataset8_088,30.0,0.9921237165144267,0.9843705351249371,8437,916,597505,0.9921237165144267,0.9843705351249371,8437,916,597505,0.0,0.0,0,597505
dataset8_088,40.0,0.9921237165144267,0.9843705351249371,8437,916,597505,0.9921237165144267,0.9843705351249371,8437,916,597505,0.0,0.0,0,597505
