case,distance_mm,original_dice,original_iou,original_false_positive_voxels,original_false_negative_voxels,original_prediction_voxels,filtered_dice,filtered_iou,filtered_false_positive_voxels,filtered_false_negative_voxels,filtered_prediction_voxels,dice_change,iou_change,removed_voxels,largest_component_voxels
dataset8_028,40.0,0.9780302443308022,0.9570050766232084,9197,4413,312136,0.9784582787617265,0.9578250779377636,8926,4413,311865,0.0004280344309243178,0.0008200013145551743,271,311858
dataset8_033,5.0,0.9731942295212899,0.9477880408361692,18728,8122,506128,0.9777012753305688,0.9563753252716976,14052,8178,501396,0.0045070458092789645,0.008587284435528364,4732,501396
dataset8_033,10.0,0.9731942295212899,0.9477880408361692,18728,8122,506128,0.9777433620773531,0.9564558700878183,14053,8136,501439,0.004549132556063262,0.008667829251649106,4689,501396
dataset8_033,15.0,0.9731942295212899,0.9477880408361692,18728,8122,506128,0.97775771709421,0.9564833439631065,14053,8122,501453,0.004563487572920133,0.008695303126937337,4675,501396
dataset8_033,20.0,0.9731942295212899,0.9477880408361692,18728,8122,506128,0.97775771709421,0.9564833439631065,14053,8122,501453,0.004563487572920133,0.008695303126937337,4675,501396
dataset8_033,30.0,0.9731942295212899,0.9477880408361692,18728,8122,506128,0.97775771709421,0.9564833439631065,14053,8122,501453,0.004563487572920133,0.008695303126937337,4675,501396
dataset8_033,40.0,0.9731942295212899,0.9477880408361692,18728,8122,506128,0.97775771709421,0.9564833439631065,14053,8122,501453,0.004563487572920133,0.008695303126937337,4675,501396
dataset8_036,5.0,0.9883059862008918,0.9768823109762312,3221,4945,348291,0.9884390414372712,0.9771423393422476,3127,4945,348197,0.00013305523637940908,0.0002600283660163516,94,348197
dataset8_036,10.0,0.9883059862008918,0.9768823109762312,3221,4945,348291,0.9883555238582155,0.9769791138756685,3186,4945,348256,4.953765732362836e-05,9.680289943725384e-05,35,348197
dataset8_036,15.0,0.9883059862008918,0.9768823109762312,3221,4945,348291,0.9883555238582155,0.9769791138756685,3186,4945,348256,4.953765732362836e-05,9.680289943725384e-05,35,348197
dataset8_036,20.0,0.9883059862008918,0.9768823109762312,3221,4945,348291,0.9883555238582155,0.9769791138756685,3186,4945,348256,4.953765732362836e-05,9.680289943725384e-05,35,348197
dataset8_036,30.0,0.9883059862008918,0.9768823109762312,3221,4945,348291,0.9883555238582155,0.9769791138756685,3186,4945,348256,4.953765732362836e-05,9.680289943725384e-05,35,348197
dataset8_036,40.0,0.9883059862008918,0.9768823109762312,3221,4945,348291,0.9883427851291745,0.9769542198691996,3195,4945,348265,3.67989282826775e-05,7.190889296837533e-05,26,348197
dataset8_039,5.0,0.9687271307996292,0.9393509319708582,3913,6984,172689,0.9724528541055676,0.9463827114804473,2578,6984,171354,0.0037257233059383443,0.007031779509589109,1335,171354
dataset8_039,10.0,0.9687271307996292,0.9393509319708582,3913,6984,172689,0.9724528541055676,0.9463827114804473,2578,6984,171354,0.0037257233059383443,0.007031779509589109,1335,171354
dataset8_039,15.0,0.9687271307996292,0.9393509319708582,3913,6984,172689,0.9724528541055676,0.9463827114804473,2578,6984,171354,0.0037257233059383443,0.007031779509589109,1335,171354
dataset8_039,20.0,0.9687271307996292,0.9393509319708582,3913,6984,172689,0.9724528541055676,0.9463827114804473,2578,6984,171354,0.0037257233059383443,0.007031779509589109,1335,171354
dataset8_039,30.0,0.9687271307996292,0.9393509319708582,3913,6984,172689,0.9724528541055676,0.9463827114804473,2578,6984,171354,0.0037257233059383443,0.007031779509589109,1335,171354
